Food_Item_ID,foodcode,foodname,Protein (g),Total Fat (g), Carbohydrate (g), Energy (kcal)
1500,28315120,"Beef vegetable soup with noodles, stew type, chunky style",4.0099,1.1799,11.24,72
1501,28315130,"Beef vegetable soup with rice, stew type, chunky style",3.87,1.05,11.46,71
1502,28315140,"Beef vegetable soup, Mexican style",7.9199,2.21,4.8799,70
1503,28315150,"Meat and corn hominy soup, Mexican style (Pozole)",7.49,4.12,5.11,90
1504,28315160,Italian Wedding Soup,4.7698,2.6699,6.37,69
6007,28317010,Beef stroganoff soup,5.0998,4.5998,9,98
1505,28320150,"Pork and vegetable soup with potatoes, stew type, chunky style",5.2199,0.99,6.8099,56
1506,28330110,"Scotch broth (lamb, vegetables, and barley)",2.0299,1.07,3.87,33
1507,28340110,"Broth, chicken, condensed, prepared",0.64,0.21,0.44,6
5816,28340119,"Broth, chicken, dry (bouillon), low sodium",16.6999,13.89,NULL,438
1508,28340120,"Broth, chicken, homemade",2.52,1.2,3.5299,36
1509,28340140,"Broth, chicken, dry (bouillon)",16.66,13.88,18.01,267
1510,28340150,"Broth, chicken, Mexican style",2.35,1.29,7.74,49
6008,28340180,"Broth, chicken, low sodium",2,0.6,1.2,16
1512,28340210,"Chicken rice soup, Puerto Rican style",7.41,1.08,8.6098,75
1513,28340220,"Chicken soup with noodles and potatoes, Puerto Rican style",6.9,1.01,8.65,72
1514,28340310,Chicken gumbo soup,1.08,0.59,3.43,23
1515,28340510,"Chicken noodle soup, chunky style",3.0899,1.1598,4,39
1516,28340530,Chicken soup,1.27,0.95,2.95,25
6009,28340550,Sweet and sour soup,5.58,2.96,4.73,67
1517,28340590,"Chicken corn soup with noodles, home recipe",4.7698,1.5,7.3399,60
1518,28340610,"Chicken or turkey vegetable soup, stew type",5.0598,2.64,6.8799,71
1519,28340620,"Turkey noodle soup, chunky style",6.2699,2.41,6.83,75
1520,28340630,"Chicken vegetable soup with rice, stew type, chunky style",5.11,1.33,5.41,53
1521,28340640,"Chicken vegetable soup with noodles, stew type, chunky style",5.0598,2.64,6.8799,71
1522,28340660,"Chicken or turkey vegetable soup, home recipe",4.6398,1.3898,4.1699,47
1523,28340670,"Chicken vegetable soup with rice, Mexican style",7.36,1.81,7.94,77
1524,28340680,"Chicken or turkey and corn hominy soup, Mexican style (Pozole)",8.06,1.94,5.11,72
6010,28340690,"Chicken or turkey soup, with potato, vegetable, and cheese",1.1598,4.4599,5.2,65
1525,28340750,Hot and sour soup,2.58,1.21,4.3498,39
1526,28345020,"Cream of chicken soup, reduced sodium, made with milk",2.54,1.6,7.1798,54
